model,scope,method,mean,seed_values,patient_counts,cell_counts
mlp,all,rna_oracle,0.6721589658931787,"[0.6714772812251041, 0.6729418680101982, 0.6720577484442336]","[40, 40, 40]","[361792, 361792, 361792]"
mlp,all,apt_oracle,0.3091497996632695,"[0.3096399627839373, 0.3071514959647459, 0.3106579402411253]","[40, 40, 40]","[361792, 361792, 361792]"
mlp,all,prior_oracle,0.14797434913898955,"[0.14797434913898955, 0.14797434913898955, 0.14797434913898955]","[40, 40, 40]","[361792, 361792, 361792]"
mlp,all,patient_shuffle_0,0.5970844938688368,"[0.5994241466141855, 0.5963820572855186, 0.595447277706806]","[40, 40, 40]","[361792, 361792, 361792]"
mlp,all,patient_shuffle_1,0.59874031147476,"[0.5996447170705885, 0.5972478608855136, 0.599328356468178]","[40, 40, 40]","[361792, 361792, 361792]"
mlp,all,patient_shuffle_2,0.5986693814826337,"[0.5974960675918325, 0.5973133733465293, 0.6011987035095395]","[40, 40, 40]","[361792, 361792, 361792]"
mlp,all,lineage_shuffle_0,0.6006381355860745,"[0.6009623190080663, 0.6004948031868326, 0.6004572845633248]","[40, 40, 40]","[361792, 361792, 361792]"
mlp,all,lineage_shuffle_1,0.6009004749964415,"[0.5999097912966604, 0.6009454995980086, 0.6018461340946556]","[40, 40, 40]","[361792, 361792, 361792]"
mlp,all,lineage_shuffle_2,0.5999555309729735,"[0.5996267150621427, 0.5980914400496253, 0.6021484378071527]","[40, 40, 40]","[361792, 361792, 361792]"
mlp,all,prior_expected_cm,0.18210792041895751,"[0.18210792041895751, 0.18210792041895751, 0.18210792041895751]","[40, 40, 40]","[361792, 361792, 361792]"
mlp,rna_correct,rna,1.0,"[1.0, 1.0, 1.0]","[40, 40, 40]","[254355, 254556, 254242]"
mlp,rna_correct,apt,0.09398598058948711,"[0.09625695352680859, 0.09156619028845624, 0.0941347979531965]","[40, 40, 40]","[254355, 254556, 254242]"
mlp,rna_correct,rna_apt,0.8068495415593097,"[0.8092371845991221, 0.7994331801285951, 0.8118782599502118]","[40, 40, 40]","[254355, 254556, 254242]"
mlp,rna_correct,rna_noise,0.7654087835774317,"[0.7580736683617165, 0.7639672372281322, 0.7741854451424465]","[40, 40, 40]","[254355, 254556, 254242]"
mlp,rna_correct,rna_oracle,1.0,"[1.0, 1.0, 1.0]","[40, 40, 40]","[254355, 254556, 254242]"
mlp,rna_correct,apt_oracle,0.31174754464060145,"[0.3146884651355021, 0.31109604856402123, 0.309458120222281]","[40, 40, 40]","[254355, 254556, 254242]"
mlp,rna_correct,prior_oracle,0.15169041896645696,"[0.15167770853871534, 0.15178540450231878, 0.15160814385833674]","[40, 40, 40]","[254355, 254556, 254242]"
mlp,rna_correct,patient_shuffle_0,0.8020999805653023,"[0.8042615570953214, 0.7977494877588996, 0.8042888968416859]","[40, 40, 40]","[254355, 254556, 254242]"
mlp,rna_correct,patient_shuffle_1,0.8011382294326639,"[0.8024238863836722, 0.7933503442722285, 0.807640457642091]","[40, 40, 40]","[254355, 254556, 254242]"
mlp,rna_correct,patient_shuffle_2,0.8073391378936087,"[0.800463572891691, 0.8053440999673387, 0.8162097408217961]","[40, 40, 40]","[254355, 254556, 254242]"
mlp,rna_correct,lineage_shuffle_0,0.8033275783244921,"[0.8023343536147344, 0.8051529235518935, 0.8024954578068482]","[40, 40, 40]","[254355, 254556, 254242]"
mlp,rna_correct,lineage_shuffle_1,0.8093182370394961,"[0.795703243395032, 0.8115840227044442, 0.8206674450190119]","[40, 40, 40]","[254355, 254556, 254242]"
mlp,rna_correct,lineage_shuffle_2,0.8036377527580525,"[0.7977379707853745, 0.8060916426938929, 0.8070836447948901]","[40, 40, 40]","[254355, 254556, 254242]"
mlp,rna_correct,prior_expected_cm,0.1825107062037319,"[0.18259218266315425, 0.18256797456828208, 0.18237196137975928]","[40, 40, 40]","[254355, 254556, 254242]"
mlp,rna_error,rna,0.0,"[0.0, 0.0, 0.0]","[40, 40, 40]","[107437, 107236, 107550]"
mlp,rna_error,apt,0.08139769980700869,"[0.08401102310172774, 0.07616602893920355, 0.08401604738009477]","[40, 40, 40]","[107437, 107236, 107550]"
mlp,rna_error,rna_apt,0.25854299596832236,"[0.2631293810065151, 0.2519963584068012, 0.2605032484916509]","[40, 40, 40]","[107437, 107236, 107550]"
mlp,rna_error,rna_noise,0.21526577292629548,"[0.22181447537290275, 0.21223948781569407, 0.21174335559028967]","[40, 40, 40]","[107437, 107236, 107550]"
mlp,rna_error,rna_oracle,0.2602101106993145,"[0.2577005531655043, 0.25786168102633333, 0.26506809790610586]","[40, 40, 40]","[107437, 107236, 107550]"
mlp,rna_error,apt_oracle,0.2832966750060204,"[0.2832540247275515, 0.28095580865486564, 0.2856801916356441]","[40, 40, 40]","[107437, 107236, 107550]"
mlp,rna_error,prior_oracle,0.13464483469060975,"[0.1347455011623088, 0.1342223123104114, 0.13496669059910907]","[40, 40, 40]","[107437, 107236, 107550]"
