model,scope,metric,comparison,mean,seed_values,valid_bootstrap,low,high
sgd,rna_correct,subject_accuracy,rna_apt-minus-patient_shuffle,-0.012683819057352089,"[np.float64(-0.02193494083002623), np.float64(-0.018697071033228374), np.float64(0.0025805546911983335)]",2000,-0.039291141181932956,0.007700002775334487
sgd,rna_correct,sb_f1,rna_apt-minus-lineage_shuffle,-0.0014232495280470658,"[np.float64(-0.015515584326108889), np.float64(0.007133399897612858), np.float64(0.004112435844354834)]",2000,-0.021416462386137793,0.015964777046659925
sgd,rna_correct,subject_accuracy,rna_apt-minus-lineage_shuffle,-0.001842075342644578,"[np.float64(-0.010687794225107461), np.float64(-0.002936941374672597), np.float64(0.008098509571846324)]",2000,-0.023010907815583823,0.015430783029852653
sgd,rna_correct,sb_f1,apt_oracle-minus-prior_oracle,0.16618937700233158,"[np.float64(0.17305276661693064), np.float64(0.1691293673849317), np.float64(0.15638599700513237)]",2000,0.1326594490174259,0.18420475950157503
sgd,rna_correct,subject_accuracy,apt_oracle-minus-prior_oracle,-0.0026539127795448167,"[np.float64(0.012876850657747685), np.float64(-0.0017969277251848048), np.float64(-0.01904166127119733)]",2000,-0.06439925298671527,0.06081017117099952
sgd,rna_correct,sb_f1,rna_oracle-minus-prior_oracle,0.855510716614822,"[np.float64(0.8554662439109262), np.float64(0.8552223758795034), np.float64(0.8558435300540368)]",2000,0.8479724572245306,0.8642249812778534
sgd,rna_correct,subject_accuracy,rna_oracle-minus-prior_oracle,0.45642785074407444,"[np.float64(0.45563953920390987), np.float64(0.45591920184618995), np.float64(0.4577248111821234)]",2000,0.3889755783137467,0.5312579827031392
sgd,rna_correct,sb_f1,apt_oracle-minus-prior_expected_cm,0.12883828056361601,"[np.float64(0.1357561104057066), np.float64(0.13199990230550152), np.float64(0.11875882897963999)]",2000,0.1021125659699175,0.14378935043145016
sgd,rna_correct,subject_accuracy,apt_oracle-minus-prior_expected_cm,0.13190758080702272,"[np.float64(0.1476194418156479), np.float64(0.1343116748645382), np.float64(0.11379162574088209)]",2000,0.09890358369035594,0.16270149519090396
sgd,rna_correct,sb_f1,rna_oracle-minus-prior_expected_cm,0.8181596201761066,"[np.float64(0.8181695876997022), np.float64(0.8180929108000732), np.float64(0.8182163620285444)]",2000,0.8170146177578906,0.8214896730954621
sgd,rna_correct,subject_accuracy,rna_oracle-minus-prior_expected_cm,0.5909893443306419,"[np.float64(0.5903821303618101), np.float64(0.592027804435913), np.float64(0.5905580981942028)]",2000,0.5554379527121277,0.628211941953919
sgd,rna_error,sb_f1,rna_apt-minus-rna,0.14607356361398302,"[np.float64(0.1436762522378979), np.float64(0.1476319526110116), np.float64(0.14691248599303955)]",2000,0.12608508770940818,0.15932918058798784
sgd,rna_error,subject_accuracy,rna_apt-minus-rna,0.24501650100708405,"[np.float64(0.23529267696975995), np.float64(0.24726781263651829), np.float64(0.25248901341497393)]",2000,0.2250805428807492,0.2637397211804205
sgd,rna_error,sb_f1,rna_apt-minus-rna_noise,0.029797879538956,"[np.float64(0.026576265333877427), np.float64(0.031161265925510065), np.float64(0.031656107357480506)]",2000,0.01872621121375439,0.03865618712408944
sgd,rna_error,subject_accuracy,rna_apt-minus-rna_noise,0.056828135766048775,"[np.float64(0.04892564568099392), np.float64(0.05617538055274704), np.float64(0.06538338106440536)]",2000,0.0411272061681701,0.07292949299579454
sgd,rna_error,sb_f1,rna_apt-minus-patient_shuffle,0.014128027863167933,"[np.float64(0.008843883664573504), np.float64(0.014941250196928824), np.float64(0.018598949728001468)]",2000,0.0056578788867743405,0.02174739201113063
sgd,rna_error,subject_accuracy,rna_apt-minus-patient_shuffle,0.019067740856690312,"[np.float64(0.01542242028753002), np.float64(0.011343489705140097), np.float64(0.030437312577400816)]",2000,0.0016741897726861826,0.03477942976794919
sgd,rna_error,sb_f1,rna_apt-minus-lineage_shuffle,0.009783259931494667,"[np.float64(0.004202741256683601), np.float64(0.010324171108729574), np.float64(0.014822867429070824)]",2000,0.0008218116580551822,0.018006874237770622
sgd,rna_error,subject_accuracy,rna_apt-minus-lineage_shuffle,0.016276107705661107,"[np.float64(0.00897849971637163), np.float64(0.007658271393241656), np.float64(0.03219155200737003)]",2000,-0.0028296930697704046,0.0342986845223652
sgd,rna_error,sb_f1,apt_oracle-minus-prior_oracle,0.09350996973674065,"[np.float64(0.09927508270940966), np.float64(0.09807855163749712), np.float64(0.08317627486331519)]",2000,0.060686516796429196,0.10978359902410745
sgd,rna_error,subject_accuracy,apt_oracle-minus-prior_oracle,-0.15932889082772111,"[np.float64(-0.13166910822975353), np.float64(-0.14130738892227823), np.float64(-0.20501017533113158)]",2000,-0.22287002831714708,-0.10561714708767994
