actual_contributing_patients,fit_seconds,fold,inference_seconds,mean_class_donor_coverage,min_class_donor_coverage,model,n_classes,n_test_cells,n_train_cells,observed_class_count,patient_budget,protocol_hash,seed,status,task,total,unseen_at_training_class_count,wall_seconds
8,0.1991451969370246,0,0.0845209127292037,7.230769230769231,1,logistic_regression,39,165797,3200,39,8,4c9bed99296e455f,6,success,fine,3200,0,0.4306728430092335
16,0.04778457432985306,0,0.041292755864560604,16.0,16,logistic_regression,5,165797,6400,5,16,4c9bed99296e455f,6,success,coarse,6400,0,0.24287626519799232
16,0.5628169719129801,0,0.08070768136531115,14.256410256410257,1,logistic_regression,39,165797,6400,39,16,4c9bed99296e455f,6,success,fine,6400,0,0.8004269059747458
32,0.039124091155827045,0,0.040756004862487316,31.2,28,logistic_regression,5,165797,6400,5,32,4c9bed99296e455f,6,success,coarse,6400,0,0.25678866170346737
32,0.600172434002161,0,0.08328203950077295,25.871794871794872,1,logistic_regression,39,165797,6400,39,32,4c9bed99296e455f,6,success,fine,6400,0,0.8608052479103208
8,0.0437493771314621,0,0.04017706122249365,8.0,8,logistic_regression,5,165797,6400,5,8,4c9bed99296e455f,6,success,coarse,6400,0,0.23161569330841303
8,0.5749834338203073,0,0.08098945021629333,7.3076923076923075,1,logistic_regression,39,165797,6400,39,8,4c9bed99296e455f,6,success,fine,6400,0,0.8020265093073249
16,0.023543952964246273,0,0.03995422087609768,15.8,15,logistic_regression,5,165797,3200,5,16,4c9bed99296e455f,7,success,coarse,3200,0,0.22516376338899136
16,0.20597887970507145,0,0.07993402052670717,13.692307692307692,1,logistic_regression,39,165797,3200,39,16,4c9bed99296e455f,7,success,fine,3200,0,0.4461446534842253
32,0.021105297841131687,0,0.04088986665010452,28.6,15,logistic_regression,5,165797,3200,5,32,4c9bed99296e455f,7,success,coarse,3200,0,0.23721619602292776
32,0.19826378859579563,0,0.0805547060444951,23.666666666666668,1,logistic_regression,39,165797,3200,39,32,4c9bed99296e455f,7,success,fine,3200,0,0.4653001679107547
8,0.026375404559075832,0,0.03887161612510681,8.0,8,logistic_regression,5,165797,3200,5,8,4c9bed99296e455f,7,success,coarse,3200,0,0.2151102013885975
8,0.20268110185861588,0,0.08115050382912159,7.282051282051282,1,logistic_regression,39,165797,3200,39,8,4c9bed99296e455f,7,success,fine,3200,0,0.43359164241701365
16,0.05848338920623064,0,0.040408069267868996,16.0,16,logistic_regression,5,165797,6400,5,16,4c9bed99296e455f,7,success,coarse,6400,0,0.25919156800955534
16,0.5982095897197723,0,0.08023205678910017,14.384615384615385,2,logistic_regression,39,165797,6400,39,16,4c9bed99296e455f,7,success,fine,6400,0,0.8383794166147709
32,0.047619991935789585,0,0.04295944329351187,31.4,29,logistic_regression,5,165797,6400,5,32,4c9bed99296e455f,7,success,coarse,6400,0,0.2681500380858779
32,0.4870371073484421,0,0.07894925586879253,27.128205128205128,2,logistic_regression,39,165797,6400,39,32,4c9bed99296e455f,7,success,fine,6400,0,0.7450082199648023
8,0.06456793006509542,0,0.04058707505464554,8.0,8,logistic_regression,5,165797,6400,5,8,4c9bed99296e455f,7,success,coarse,6400,0,0.25478657614439726
8,0.5283142291009426,0,0.08047986589372158,7.410256410256411,2,logistic_regression,39,165797,6400,39,8,4c9bed99296e455f,7,success,fine,6400,0,0.7590652480721474
16,0.03017989918589592,0,0.039897019043564796,16.0,16,logistic_regression,5,165797,3200,5,16,4c9bed99296e455f,8,success,coarse,3200,0,0.22774320747703314
16,0.22528831753879786,0,0.08063531201332808,13.871794871794872,1,logistic_regression,39,165797,3200,39,16,4c9bed99296e455f,8,success,fine,3200,0,0.4629066502675414
32,0.03167561162263155,0,0.04003178048878908,32.0,32,logistic_regression,5,165797,3200,5,32,4c9bed99296e455f,8,success,coarse,3200,0,0.24934317730367184
32,0.20120652299374342,0,0.08237631898373365,22.512820512820515,1,logistic_regression,39,165797,3200,39,32,4c9bed99296e455f,8,success,fine,3200,0,0.4715628232806921
8,0.029895165003836155,0,0.040017908439040184,8.0,8,logistic_regression,5,165797,3200,5,8,4c9bed99296e455f,8,success,coarse,3200,0,0.21334003657102585
8,0.16251015942543745,0,0.08961356710642576,7.3076923076923075,1,logistic_regression,39,165797,3200,39,8,4c9bed99296e455f,8,success,fine,3200,0,0.4007165068760514
16,0.04750379268079996,0,0.04292898066341877,16.0,16,logistic_regression,5,165797,6400,5,16,4c9bed99296e455f,8,success,coarse,6400,0,0.24801438208669424
16,0.5526006231084466,0,0.08516812510788441,14.461538461538462,2,logistic_regression,39,165797,6400,39,16,4c9bed99296e455f,8,success,fine,6400,0,0.794370586052537
32,0.04282921180129051,0,0.04132385831326246,32.0,32,logistic_regression,5,165797,6400,5,32,4c9bed99296e455f,8,success,coarse,6400,0,0.2618906572461128
32,0.6255083354189992,0,0.08126400411128998,27.256410256410255,2,logistic_regression,39,165797,6400,39,32,4c9bed99296e455f,8,success,fine,6400,0,0.8867832645773888
8,0.039792523719370365,0,0.04229927156120539,8.0,8,logistic_regression,5,165797,6400,5,8,4c9bed99296e455f,8,success,coarse,6400,0,0.22675094287842512
8,0.5565417604520917,0,0.08080271445214748,7.410256410256411,2,logistic_regression,39,165797,6400,39,8,4c9bed99296e455f,8,success,fine,6400,0,0.7845477173104882
16,0.02069033309817314,0,0.04199148528277874,16.0,16,logistic_regression,5,165797,3200,5,16,4c9bed99296e455f,9,success,coarse,3200,0,0.22588020842522383
16,0.2544280383735895,0,0.08222154527902603,13.76923076923077,1,logistic_regression,39,165797,3200,39,16,4c9bed99296e455f,9,success,fine,3200,0,0.4930683271959424
32,0.024164843373000622,0,0.045306358486413956,31.0,27,logistic_regression,5,165797,3200,5,32,4c9bed99296e455f,9,success,coarse,3200,0,0.2454069396480918
32,0.2182939313352108,0,0.08400964178144932,23.307692307692307,1,logistic_regression,39,165797,3200,39,32,4c9bed99296e455f,9,success,fine,3200,0,0.48481176421046257
8,0.020971260964870453,0,0.0408654548227787,8.0,8,logistic_regression,5,165797,3200,5,8,4c9bed99296e455f,9,success,coarse,3200,0,0.2110369624570012
8,0.21985886804759502,0,0.08079077024012804,7.3076923076923075,1,logistic_regression,39,165797,3200,39,8,4c9bed99296e455f,9,success,fine,3200,0,0.44502123445272446
16,0.04264249838888645,0,0.04209744464606047,16.0,16,logistic_regression,5,165797,6400,5,16,4c9bed99296e455f,9,success,coarse,6400,0,0.24280548933893442
16,0.6798469675704837,0,0.08677216526120901,14.41025641025641,2,logistic_regression,39,165797,6400,39,16,4c9bed99296e455f,9,success,fine,6400,0,0.9251992544159293
32,0.0442677428945899,0,0.04281119164079428,32.0,32,logistic_regression,5,165797,6400,5,32,4c9bed99296e455f,9,success,coarse,6400,0,0.26076896023005247
32,0.5725217247381806,0,0.08326463494449854,27.23076923076923,2,logistic_regression,39,165797,6400,39,32,4c9bed99296e455f,9,success,fine,6400,0,0.8420146983116865
8,0.04255189187824726,0,0.042496439069509506,8.0,8,logistic_regression,5,165797,6400,5,8,4c9bed99296e455f,9,success,coarse,6400,0,0.2272136639803648
8,0.6955933552235365,0,0.0834769094362855,7.461538461538462,2,logistic_regression,39,165797,6400,39,8,4c9bed99296e455f,9,success,fine,6400,0,0.928403646685183
16,0.02179564256221056,0,0.045082579366862774,14.6,9,logistic_regression,5,165797,3200,5,16,4c9bed99296e455f,10,success,coarse,3200,0,0.22133107017725706
16,0.2680599968880415,0,0.08476806059479713,13.447368421052632,1,logistic_regression,39,165797,3200,38,16,4c9bed99296e455f,10,success,fine,3200,1,0.508757408708334
32,0.017571373842656612,0,0.0467406427487731,27.4,9,logistic_regression,5,165797,3200,5,32,4c9bed99296e455f,10,success,coarse,3200,0,0.24894148856401443
32,0.19689736794680357,0,0.08317661937326193,22.236842105263158,1,logistic_regression,39,165797,3200,38,32,4c9bed99296e455f,10,success,fine,3200,1,0.45845496375113726
8,0.019551966339349747,0,0.04329292010515928,7.8,7,logistic_regression,5,165797,3200,5,8,4c9bed99296e455f,10,success,coarse,3200,0,0.20808350015431643
8,0.20374485198408365,0,0.08818024769425392,7.157894736842105,1,logistic_regression,39,165797,3200,38,8,4c9bed99296e455f,10,success,fine,3200,1,0.4408139893785119
16,0.0392475500702858,0,0.04894365184009075,15.8,15,logistic_regression,5,165797,6400,5,16,4c9bed99296e455f,10,success,coarse,6400,0,0.25062256678938866
16,0.525331437587738,0,0.08459394611418247,14.157894736842104,2,logistic_regression,39,165797,6400,38,16,4c9bed99296e455f,10,success,fine,6400,1,0.7713205451145768
32,0.04316096752882004,0,0.048594300635159016,29.2,18,logistic_regression,5,165797,6400,5,32,4c9bed99296e455f,10,success,coarse,6400,0,0.2712316457182169
32,0.6630743909627199,0,0.08973319362848997,26.210526315789473,2,logistic_regression,39,165797,6400,38,32,4c9bed99296e455f,10,success,fine,6400,1,0.9327765684574842
8,0.04423266462981701,0,0.04712830204516649,7.8,7,logistic_regression,5,165797,6400,5,8,4c9bed99296e455f,10,success,coarse,6400,0,0.23893214762210846
8,0.48174403328448534,0,0.08803549595177174,7.394736842105263,2,logistic_regression,39,165797,6400,38,8,4c9bed99296e455f,10,success,fine,6400,1,0.7190008759498596
16,0.020117823034524918,0,0.0493122935295105,14.4,8,logistic_regression,5,165797,3200,5,16,4c9bed99296e455f,11,success,coarse,3200,0,0.23020542226731777
