seed,total,patient_budget,model,task,patient_balanced_macro_f1,observed_class_count,unseen_at_training_class_count,actual_contributing_patients,mean_class_donor_coverage
17,6400,32,logistic_regression,coarse,0.9827523960692147,5.0,0.0,32.0,31.4
17,6400,32,logistic_regression,fine,0.5106621876418527,39.0,0.0,32.0,26.53846153846154
17,6400,8,logistic_regression,coarse,0.9800444959470127,5.0,0.0,8.0,8.0
17,6400,8,logistic_regression,fine,0.5184181690242102,39.0,0.0,8.0,7.2
18,3200,16,logistic_regression,coarse,0.9801067578386343,5.0,0.0,16.0,15.680000000000001
18,3200,16,logistic_regression,fine,0.5120713974877744,39.0,0.0,16.0,13.107692307692307
18,3200,32,logistic_regression,coarse,0.9783643387124545,5.0,0.0,32.0,28.839999999999996
18,3200,32,logistic_regression,fine,0.5112700268841956,39.0,0.0,32.0,21.435897435897438
18,3200,8,logistic_regression,coarse,0.980704982742034,5.0,0.0,8.0,8.0
18,3200,8,logistic_regression,fine,0.5149751000013452,39.0,0.0,8.0,7.097435897435898
18,6400,16,logistic_regression,coarse,0.9825019867801513,5.0,0.0,16.0,16.0
18,6400,16,logistic_regression,fine,0.5232159097106153,39.0,0.0,16.0,14.138461538461538
18,6400,32,logistic_regression,coarse,0.9802295790938688,5.0,0.0,32.0,31.160000000000004
18,6400,32,logistic_regression,fine,0.5239648072727987,39.0,0.0,32.0,25.98974358974359
18,6400,8,logistic_regression,coarse,0.9806924681351349,5.0,0.0,8.0,8.0
18,6400,8,logistic_regression,fine,0.5244409790077552,39.0,0.0,8.0,7.235897435897437
19,3200,16,logistic_regression,coarse,0.9809074881584131,5.0,0.0,16.0,15.8
19,3200,16,logistic_regression,fine,0.5058490022044397,39.0,0.0,16.0,13.482051282051282
19,3200,32,logistic_regression,coarse,0.9835879261794851,5.0,0.0,32.0,29.360000000000003
19,3200,32,logistic_regression,fine,0.5085029455516618,39.0,0.0,32.0,22.81025641025641
19,3200,8,logistic_regression,coarse,0.9793765256293989,5.0,0.0,8.0,7.959999999999999
19,3200,8,logistic_regression,fine,0.5106108335033503,39.0,0.0,8.0,7.128205128205129
19,6400,16,logistic_regression,coarse,0.9835329455389441,5.0,0.0,16.0,15.959999999999999
19,6400,16,logistic_regression,fine,0.5240164123703223,39.0,0.0,16.0,14.307692307692307
19,6400,32,logistic_regression,coarse,0.9853915665817906,5.0,0.0,32.0,31.52
19,6400,32,logistic_regression,fine,0.5216826277974179,39.0,0.0,32.0,26.794871794871796
19,6400,8,logistic_regression,coarse,0.9823533812835364,5.0,0.0,8.0,7.959999999999999
19,6400,8,logistic_regression,fine,0.5213067201243236,39.0,0.0,8.0,7.2
