width,model,seed,subtype,cells,patients,rna_correct,paired_correct,rescued,harmed
2000,mlp,20260913,Memory B-1,23722,40,21106,21451,1217,872
2000,mlp,20260913,Memory B-2,2130,33,1125,1284,345,186
2000,mlp,20260913,Naive T,17960,40,11085,10844,1399,1640
2000,mlp,20260913,Plasma,2173,40,2043,2045,35,33
2000,mlp,20260913,Tcm,2121,36,50,50,29,29
2000,mlp,20260913,cDC2,7376,40,6508,6454,213,267
2000,mlp,20260913,pDC,2615,40,2263,2263,78,78
2000,mlp,20260913,platelet,1574,38,1302,1299,52,55
2000,mlp,20260914,Atypical Memory B,781,34,498,410,24,112
2000,mlp,20260914,CD14 Monocyte-1,29871,40,25148,25450,1744,1442
2000,mlp,20260914,CD14 Monocyte-2,3931,40,1838,2184,714,368
2000,mlp,20260914,CD14 Monocyte-3,2977,32,1803,1788,310,325
2000,mlp,20260914,CD16 Monocyte-1,14678,40,12839,12961,700,578
2000,mlp,20260914,CD16 Monocyte-2,5142,40,3403,3287,278,394
2000,mlp,20260914,CD16 NK,58507,40,41271,42906,5714,4079
2000,mlp,20260914,CD4 + Tcm-1,70653,40,51047,51820,7160,6387
2000,mlp,20260914,CD4 + Tcm-2,16861,39,9743,10285,1759,1217
2000,mlp,20260914,CD4 Monocyte-4,1405,35,938,933,111,116
2000,mlp,20260914,CD56 NK,38442,40,27721,28357,3089,2453
2000,mlp,20260914,CD8 + CTL-1,7303,40,3869,3928,628,569
2000,mlp,20260914,CD8 + CTL-2,4049,33,1124,1265,531,390
2000,mlp,20260914,CD8 + CTL-3,3244,27,643,1217,729,155
2000,mlp,20260914,CD8 Tem-1,26714,40,16202,16676,3225,2751
2000,mlp,20260914,CD8 Tem-2,10548,40,7003,6762,596,837
2000,mlp,20260914,Cycling T,3667,40,1890,1938,275,227
2000,mlp,20260914,Erythrocyte,65,6,4,4,1,1
2000,mlp,20260914,GCB,3283,31,2012,2101,375,286
2000,mlp,20260914,Memory B-1,23722,40,21046,21472,1253,827
2000,mlp,20260914,Memory B-2,2130,33,1107,1353,372,126
2000,mlp,20260914,Naive T,17960,40,10966,11258,1557,1265
2000,mlp,20260914,Plasma,2173,40,2031,2030,41,42
2000,mlp,20260914,Tcm,2121,36,49,45,24,28
2000,mlp,20260914,cDC2,7376,40,6485,6464,238,259
2000,mlp,20260914,pDC,2615,40,2279,2239,62,102
2000,mlp,20260914,platelet,1574,38,1283,1316,75,42
5000,sgd,20260912,Atypical Memory B,781,34,130,104,26,52
5000,sgd,20260912,CD14 Monocyte-1,29871,40,20214,20358,2427,2283
5000,sgd,20260912,CD14 Monocyte-2,3931,40,1654,1728,434,360
5000,sgd,20260912,CD14 Monocyte-3,2977,32,1368,1170,241,439
5000,sgd,20260912,CD16 Monocyte-1,14678,40,12487,12252,646,881
5000,sgd,20260912,CD16 Monocyte-2,5142,40,3584,3664,338,258
5000,sgd,20260912,CD16 NK,58507,40,34807,36510,8366,6663
5000,sgd,20260912,CD4 + Tcm-1,70653,40,33282,35487,9982,7777
5000,sgd,20260912,CD4 + Tcm-2,16861,39,10444,10484,1631,1591
