seed,patient_budget,cell_cap,model,task,accuracy,macro_f1,balanced_accuracy,patient_balanced_accuracy,patient_balanced_macro_f1,patient_balanced_balanced_accuracy,mean_patient_macro_f1,exact_path_accuracy,root_excluded_hierarchical_f1,subtype_tree_distance,mean_observed_training_classes_across_folds,min_observed_training_classes_across_folds,n_outer_folds,n_test_patients,n_test_cells
11,8,800,xgboost,fine,0.7616726748858661,0.5017055117520245,0.46445068914268695,0.7629466352737018,0.5012162837760284,0.4639118505214777,0.41536644662232686,0.7582745016957518,0.8729099067253149,0.5139495176194779,28.0,26,5,925,1199468
12,8,800,logistic_regression,coarse,0.980294597271457,0.9285181563173381,0.922220487811648,0.9798697681929811,0.9283879184829225,0.9224216987125461,0.8995646245125122,0.6824592235891245,0.8341881567494923,0.6733735289311594,5.0,5,5,925,1199468
12,8,800,logistic_regression,fine,0.6880817162275276,0.5529295509375872,0.534793340325405,0.6884207012847338,0.5512086986921401,0.5335230457401907,0.43253354354681284,0.6824592235891245,0.8341881567494923,0.6733735289311594,28.0,27,5,925,1199468
12,8,800,xgboost,coarse,0.9843113780442663,0.8806077600126387,0.8489491286032775,0.9840361190657161,0.881060684864506,0.8493606668742746,0.8552382042680612,0.7596959652112436,0.8737636185375517,0.5108348034295204,5.0,5,5,925,1199468
12,8,800,xgboost,fine,0.763215859030837,0.4865936696988464,0.4470719047380808,0.7648560873186359,0.48574626890775463,0.4463562471459497,0.4055410640794206,0.7596959652112436,0.8737636185375517,0.5108348034295204,28.0,27,5,925,1199468
13,8,800,logistic_regression,coarse,0.9817377370634315,0.9362943282531425,0.9333698081633134,0.9813961558300451,0.936441490868901,0.9333737274400796,0.9100969863920921,0.6800198087818933,0.8330176378194333,0.6819173166770601,5.0,5,5,925,1199468
13,8,800,logistic_regression,fine,0.6842975385754351,0.5550149929720405,0.5403555689355872,0.6848292397558993,0.554282143530671,0.5397607210927919,0.4391607474433771,0.6800198087818933,0.8330176378194333,0.6819173166770601,28.2,27,5,925,1199468
13,8,800,xgboost,coarse,0.984939990062261,0.9061081225205545,0.8735791012741043,0.9847230670921783,0.9062979833552202,0.8737880003805556,0.8778354927759741,0.7637911140605669,0.8762080355624327,0.4997465543057422,5.0,5,5,925,1199468
13,8,800,xgboost,fine,0.7674760810626045,0.5271526295800458,0.48609647039066467,0.7689409974599929,0.5275005784713123,0.486117400777027,0.4303723942836992,0.7637911140605669,0.8762080355624327,0.4997465543057422,28.2,27,5,925,1199468
14,8,800,logistic_regression,coarse,0.980552211480423,0.9359237570076164,0.9217633770448099,0.9802450976243079,0.935996224794098,0.9218552158022006,0.9095056839292043,0.6760363761267495,0.8308287507461641,0.6858640664027719,5.0,5,5,925,1199468
14,8,800,logistic_regression,fine,0.6811052900119052,0.5598715428363413,0.5429481580288937,0.6822007708659442,0.5600002457292594,0.5433087355364,0.4374562545170436,0.6760363761267495,0.8308287507461641,0.6858640664027719,28.6,28,5,925,1199468
14,8,800,xgboost,coarse,0.9850125222181834,0.8920375486576898,0.8597134398963728,0.9848073493864481,0.892296882137828,0.8600093830479294,0.8658910497095239,0.7599769231025755,0.8742238225613356,0.5075283375629862,5.0,5,5,925,1199468
14,8,800,xgboost,fine,0.7634351229044877,0.5111625611313705,0.46865880941377,0.7652101893926848,0.5111150936362316,0.4684410242433837,0.42214506731106327,0.7599769231025755,0.8742238225613356,0.5075283375629862,28.6,28,5,925,1199468
15,8,800,logistic_regression,coarse,0.9813834133132355,0.9298201429756615,0.9141119406237213,0.9810460659139785,0.9298676158354604,0.9140096601315884,0.9021145371582384,0.6803174407320579,0.8332494072372085,0.677270256480373,5.0,5,5,925,1199468
15,8,800,logistic_regression,fine,0.6851154011611814,0.5458249491197346,0.5270877642198077,0.6859297725332343,0.5455820203920884,0.5264905661280372,0.4292814536804764,0.6803174407320579,0.8332494072372085,0.677270256480373,28.2,27,5,925,1199468
15,8,800,xgboost,coarse,0.9841079545265068,0.8835397094606444,0.8528287817601792,0.9838277693352926,0.8825737594947899,0.8518510489338105,0.8522505839786358,0.7603595927527871,0.8737890464772716,0.5106947413353253,5.0,5,5,925,1199468
15,8,800,xgboost,fine,0.7634701384280365,0.4959316519241115,0.4530305834950571,0.7650792314577056,0.4956220020206092,0.4525140085969645,0.4083658436547604,0.7603595927527871,0.8737890464772716,0.5106947413353253,28.2,27,5,925,1199468
