seed,patient_budget,cell_cap,model,task,accuracy,macro_f1,balanced_accuracy,patient_balanced_accuracy,patient_balanced_macro_f1,patient_balanced_balanced_accuracy,mean_patient_macro_f1,exact_path_accuracy,root_excluded_hierarchical_f1,subtype_tree_distance,mean_observed_training_classes_across_folds,min_observed_training_classes_across_folds,n_outer_folds,n_test_patients,n_test_cells
0,32,800,logistic_regression,coarse,0.35661927295241463,0.29826130741652734,0.37158623724565737,0.37433586461139734,0.3002748685728944,0.36173661656925604,0.26557730310755934,0.09616851671678754,0.24630312444719618,2.9566325402441183,5.0,5,5,40,361792
0,32,800,logistic_regression,fine,0.1359869759419777,0.09703502390213527,0.1466103462401622,0.14314871614907623,0.0931339895800251,0.14312749022236285,0.053906456735777875,0.09616851671678754,0.24630312444719618,2.9566325402441183,26.8,26,5,40,361792
0,32,800,xgboost,coarse,0.5043063417654343,0.3028869814539769,0.3099765591039204,0.5192340725218546,0.30847656731553563,0.31199245133573505,0.27851347941373605,0.21774942508402617,0.40651949186272773,2.456389306562887,5.0,5,5,40,361792
0,32,800,xgboost,fine,0.3087326419600212,0.10863087879364465,0.11306043314576482,0.32279791710668315,0.10562147086729803,0.10859368852959035,0.06572710964696567,0.21774942508402617,0.40651949186272773,2.456389306562887,26.8,26,5,40,361792
1,32,800,logistic_regression,coarse,0.35354291968866086,0.29696016703910005,0.37901411549683595,0.37115553816451446,0.2990558904107667,0.3701002381286042,0.2659375390003474,0.09677107288165576,0.24583047718025827,2.9428013886431983,5.0,5,5,40,361792
1,32,800,logistic_regression,fine,0.13811803467185566,0.09958548416214864,0.1468753220324826,0.14620464361160662,0.09567554627026936,0.1443062446731759,0.054989765712440575,0.09677107288165576,0.24583047718025827,2.9428013886431983,26.8,26,5,40,361792
1,32,800,xgboost,coarse,0.5031399257031665,0.30208768770001015,0.30906526116200717,0.5176191589536667,0.30720446342113866,0.31087533816876245,0.27859223124609966,0.21614629400318414,0.40608001282504863,2.4592804705466125,5.0,5,5,40,361792
1,32,800,xgboost,fine,0.30902009994693086,0.10833111724273617,0.11264255223221108,0.3228695767902522,0.10618097153139895,0.108883553798709,0.06533157968327237,0.21614629400318414,0.40608001282504863,2.4592804705466125,26.8,26,5,40,361792
2,32,800,logistic_regression,coarse,0.3581007871926411,0.298893036344105,0.3683387246108415,0.37476324803971955,0.30016760214759264,0.358122767716488,0.2665416991318915,0.09639793030249424,0.2472373629046524,2.946549398549443,5.0,5,5,40,361792
2,32,800,logistic_regression,fine,0.13637393861666372,0.09637100243639235,0.14285355417434795,0.14529003985472194,0.09302191562570249,0.13945100332448818,0.055029023463100936,0.09639793030249424,0.2472373629046524,2.946549398549443,26.8,26,5,40,361792
