model,seed,scope,patient,cells,correct,cross,within,oracle_correct,fixed_mass,cross_among_errors,cross_among_errors_n,repair_among_cross,repair_among_cross_n,fine_cross_given_coarse_correct,fine_cross_given_coarse_correct_n,fine_cross_given_coarse_wrong,fine_cross_given_coarse_wrong_n
mlp,17,0,PBMC-3,2459,0.03741358275721838,0.9385929239528263,0.023993493289955266,0.6583977226514843,0.6209841398942659,0.9750739332488382,2367,0.6616117850953206,2308,0.19230769230769232,78,0.9630407391852163,2381
mlp,17,0,PBMC-4,2612,0.030627871362940276,0.928407350689127,0.04096477794793262,0.5172281776416539,0.48660030627871365,0.957740916271722,2532,0.5241237113402062,2425,0.23529411764705882,51,0.9422100741897697,2561
mlp,17,0,PBMC-5,1529,0.04578155657292348,0.9444081098757358,0.009810333551340745,0.6742969260954872,0.6285153695225638,0.9897189856065799,1459,0.6655124653739612,1444,0.16393442622950818,61,0.9768392370572208,1468
mlp,17,0,PBMC-6,1231,0.038180341186027617,0.9455727051177905,0.016246953696181964,0.6230706742485784,0.5848903330625508,0.9831081081081081,1184,0.6185567010309279,1164,0.3488372093023256,43,0.9671717171717171,1188
mlp,17,0,PC-1,2813,0.0039104159260575895,0.9960895840739424,0.0,0.919303234980448,0.9153928190543903,1.0,2802,0.9189864382583869,2802,0.0,8,0.9989304812834224,2805
mlp,17,0,PC-2,344,0.014534883720930232,0.9825581395348837,0.0029069767441860465,0.872093023255814,0.8575581395348837,0.9970501474926253,339,0.8727810650887574,338,0.0,3,0.9912023460410557,341
mlp,17,0,PC-3,497,0.05432595573440644,0.9456740442655935,0.0,0.9235412474849095,0.869215291750503,1.0,470,0.9191489361702128,470,0.07142857142857142,14,0.9710144927536232,483
mlp,17,0,PC-4,132,0.0,1.0,0.0,0.6666666666666666,0.6666666666666666,1.0,132,0.6666666666666666,132,,0,1.0,132
mlp,17,0,PC-5,207,0.0821256038647343,0.9130434782608695,0.004830917874396135,0.855072463768116,0.7729468599033816,0.9947368421052631,190,0.8465608465608465,189,0.0,5,0.9356435643564357,202
mlp,17,0,PC-6,268,0.04477611940298507,0.9477611940298507,0.007462686567164179,0.8582089552238806,0.8134328358208955,0.9921875,256,0.8582677165354331,254,0.0,7,0.9731800766283525,261
mlp,17,0,PRZ1,2651,0.011693700490380989,0.9875518672199171,0.0007544322897019992,0.970954356846473,0.959260656356092,0.999236641221374,2620,0.9713521772345302,2618,0.037037037037037035,27,0.9973323170731707,2624
mlp,17,0,PRZ2,1922,0.11238293444328824,0.8813735691987513,0.006243496357960458,0.9302809573361083,0.81789802289282,0.9929660023446659,1706,0.9279811097992916,1694,0.03,100,0.9281009879253568,1822
mlp,17,0,PRZ3,584,0.0410958904109589,0.9554794520547946,0.003424657534246575,0.952054794520548,0.910958904109589,0.9964285714285714,560,0.953405017921147,558,0.08333333333333333,12,0.9737762237762237,572
mlp,17,0,PRZ4,1085,0.12350230414746544,0.8764976958525346,0.0,0.9529953917050691,0.8294930875576036,1.0,951,0.9463722397476341,951,0.0,13,0.8871268656716418,1072
mlp,17,0,PRZ5,406,0.027093596059113302,0.9729064039408867,0.0,0.8940886699507389,0.8669950738916257,1.0,395,0.8911392405063291,395,0.0,3,0.9801488833746899,403
mlp,17,0,PRZ6,406,0.14532019704433496,0.8374384236453202,0.017241379310344827,0.8940886699507389,0.7487684729064039,0.9798270893371758,347,0.8941176470588236,340,0.06896551724137931,29,0.896551724137931,377
mlp,17,1,CRC11,2305,0.006507592190889371,0.9830802603036877,0.010412147505422993,0.3158351409978308,0.3093275488069414,0.9895196506550218,2290,0.3146513680494263,2266,0.22,50,1.0,2255
