model,seed,scope,metric,mean,eligible_patients
cascade,17,-1,fine_cross_given_coarse_correct,0.1481274928396609,40
cascade,17,-1,fine_cross_given_coarse_wrong,0.8682079518658619,40
cascade,17,0,correct,0.08023671352802368,40
cascade,17,0,cross,0.9091322519530853,40
cascade,17,0,within,0.010631034518890782,40
cascade,17,0,oracle_correct,0.8398652044705569,40
cascade,17,0,fixed_mass,0.7596284909425333,40
cascade,17,0,cross_among_errors,0.9884854637401219,40
cascade,17,0,repair_among_cross,0.8339799279470901,40
cascade,17,0,fine_cross_given_coarse_correct,0.0224021227421879,40
cascade,17,0,fine_cross_given_coarse_wrong,0.9745142987442132,40
cascade,17,1,correct,0.2691638775672553,40
cascade,17,1,cross,0.4856042454748616,40
cascade,17,1,within,0.2452318769578831,40
cascade,17,1,oracle_correct,0.46477406001545274,40
cascade,17,1,fixed_mass,0.19561018244819747,40
cascade,17,1,cross_among_errors,0.6040572414346292,40
cascade,17,1,repair_among_cross,0.39477865828317543,40
cascade,17,1,fine_cross_given_coarse_correct,0.11499663848898503,40
cascade,17,1,fine_cross_given_coarse_wrong,0.9781080544615597,40
cascade,17,2,correct,0.35385443318074544,40
cascade,17,2,cross,0.6102526849841026,40
cascade,17,2,within,0.035892881835152005,40
cascade,17,2,oracle_correct,0.906732093683311,40
cascade,17,2,fixed_mass,0.5528776605025655,40
cascade,17,2,cross_among_errors,0.8977232017915238,40
cascade,17,2,repair_among_cross,0.8858759568578201,40
cascade,17,2,fine_cross_given_coarse_correct,0.011182062106840937,39
cascade,17,2,fine_cross_given_coarse_wrong,0.7324486804923611,40
cascade,17,3,correct,0.017346098288639377,38
cascade,17,3,cross,0.9826539017113608,38
cascade,17,3,within,0.0,38
cascade,17,3,oracle_correct,0.9870633204521502,38
cascade,17,3,fixed_mass,0.9697172221635108,38
cascade,17,3,cross_among_errors,1.0,38
cascade,17,3,repair_among_cross,0.9869235269243309,38
cascade,17,3,fine_cross_given_coarse_correct,0.08205128205128205,5
cascade,17,3,fine_cross_given_coarse_wrong,0.9889149370054892,38
cascade,17,4,correct,0.362691850231012,40
cascade,17,4,cross,0.38674845072886654,40
cascade,17,4,within,0.25055969904012143,40
cascade,17,4,oracle_correct,0.5448722938350119,40
