method,condition,task,comparison,estimate,low,high
equivariance,both,coarse,score,0.3224497201748748,0.2726649526452952,0.3706849346265493
dual,natural,fine,score,0.09858430271814361,0.06660376728953994,0.10961546289782602
dual,natural,coarse,score,0.3265166588757349,0.2879429241023894,0.3669156370075101
dual,composition,fine,score,0.09820970136291861,0.06658218736100383,0.10914617893934907
dual,composition,coarse,score,0.3277982571853483,0.2894243524848183,0.3667885261130062
dual,shift,fine,score,0.09494215391469489,0.06568430088244426,0.10439805220723829
dual,shift,coarse,score,0.32221625684991384,0.2697372624735201,0.37380157325924607
dual,both,fine,score,0.09411767865306224,0.066190614989519,0.10247771987067668
dual,both,coarse,score,0.32398985613248277,0.27167676375825073,0.3732431119379919
raw,natural,fine,minus_context,-0.0019295896916188687,-0.00946563644494666,0.00613507325719958
raw,natural,fine,minus_correction,-0.0063510194718012225,-0.01110568240080827,-0.0008202218300818223
raw,natural,fine,minus_composition,-0.007016867588372444,-0.011487249327229079,-0.0013715466977675637
raw,natural,fine,minus_equivariance,-0.00857185429611372,-0.012684675288733183,-0.0028940674302704535
raw,natural,coarse,minus_context,-0.013404439282543035,-0.030301844194139654,-7.597221348167412e-05
raw,natural,coarse,minus_correction,-0.010374317103575559,-0.032388075952774736,0.008701338026641896
raw,natural,coarse,minus_composition,-0.010862229576887095,-0.030123270699363495,0.008494278836912039
raw,natural,coarse,minus_equivariance,-0.011919482835165307,-0.03390053692308987,0.007213383876848874
raw,composition,fine,minus_context,-0.001227940853789064,-0.009546331779661807,0.007171045534989221
raw,composition,fine,minus_correction,-0.005566387268038167,-0.011003667320834678,0.0001633404325411714
raw,composition,fine,minus_composition,-0.006473766684666413,-0.011304077398065968,-0.0010029436147427383
raw,composition,fine,minus_equivariance,-0.007417649095043985,-0.012022127308449886,-0.0024589823475609624
raw,composition,coarse,minus_context,-0.014432161446972902,-0.031577088037402085,-0.0012966306870006816
raw,composition,coarse,minus_correction,-0.011694897158191608,-0.03296597516666169,0.006096164719535733
raw,composition,coarse,minus_composition,-0.01195511196650656,-0.031753347120753644,0.005690670682476172
raw,composition,coarse,minus_equivariance,-0.012955563138330572,-0.034388836073801936,0.004463168048028861
raw,shift,fine,minus_context,0.0008567860683362655,-0.007557209502321319,0.007323376110289635
raw,shift,fine,minus_correction,-0.005223820804645785,-0.012368715687777962,0.0011222085320059195
raw,shift,fine,minus_composition,-0.005423372065320675,-0.011964759381557093,-6.0288875152923345e-05
raw,shift,fine,minus_equivariance,-0.005821848531234755,-0.013128655664317248,0.0003334476507767758
raw,shift,coarse,minus_context,-0.003540556722995636,-0.02802437932630327,0.018093413145226892
raw,shift,coarse,minus_correction,-0.008951285159672029,-0.0362828529839875,0.016575971581398088
raw,shift,coarse,minus_composition,-0.010707029687037461,-0.038096818661047124,0.017052289791633195
raw,shift,coarse,minus_equivariance,-0.008139062872966063,-0.03657205117607148,0.014684668732791306
raw,both,fine,minus_context,0.0023275947233746264,-0.007331098669330361,0.008300747744227573
raw,both,fine,minus_correction,-0.004272080622238744,-0.013183707341502239,0.0027097900560798666
raw,both,fine,minus_composition,-0.004661983673673445,-0.012585025431168193,0.0017120831899171164
raw,both,fine,minus_equivariance,-0.004476878155804068,-0.013402867509657364,0.002386068719174922
raw,both,coarse,minus_context,-0.005377306486790356,-0.027532556056660856,0.014120612560634153
raw,both,coarse,minus_correction,-0.010289569247880104,-0.03548871782823687,0.011749442812401428
raw,both,coarse,minus_composition,-0.011814039824112943,-0.037169760702833704,0.011980448701798126
raw,both,coarse,minus_equivariance,-0.009220340104586444,-0.03497631096140221,0.010106200563934272
context,natural,fine,minus_raw,0.0019295896916188687,-0.0061350732571995815,0.009465636444946659
context,natural,fine,minus_correction,-0.004421429780182354,-0.01064105195808935,0.00041018752338132955
context,natural,fine,minus_composition,-0.005087277896753575,-0.011534132059809257,0.0008911321678873985
context,natural,fine,minus_equivariance,-0.006642264604494852,-0.013559714613083456,1.6116973071925736e-05
context,natural,coarse,minus_raw,0.013404439282543035,7.597221348165531e-05,0.030301844194139633
context,natural,coarse,minus_correction,0.003030122178967476,-0.011853004658599179,0.01546268692579798
context,natural,coarse,minus_composition,0.00254220970565594,-0.012216396546040011,0.015770314581279622
