permutation,seed,patient_accuracy,patient_macro_f1
788,42,0.05,0.05158730158730159
789,42,0.075,0.06072874493927125
790,42,0.05,0.0392156862745098
791,42,0.0,0.0
792,42,0.2,0.17000835421888053
793,42,0.0,0.0
794,42,0.175,0.16783026341849872
795,42,0.225,0.19622132253711203
796,42,0.1,0.10476560476560477
797,42,0.1,0.0925925925925926
798,42,0.2,0.2094017094017094
799,42,0.1,0.09409340659340659
800,42,0.1,0.11794871794871796
801,42,0.125,0.1275132275132275
802,42,0.2,0.20158730158730157
803,42,0.125,0.12112332112332114
804,42,0.2,0.18596491228070175
805,42,0.125,0.129737221842485
806,42,0.15,0.13333333333333333
807,42,0.175,0.16527777777777777
808,42,0.1,0.08908730158730159
809,42,0.15,0.12810457516339868
810,42,0.175,0.18942168942168944
811,42,0.2,0.17234617234617233
812,42,0.05,0.05128205128205129
813,42,0.275,0.2647130647130647
814,42,0.075,0.07539682539682539
815,42,0.2,0.16382623224728488
816,42,0.1,0.0949074074074074
817,42,0.175,0.16437728937728938
818,42,0.15,0.12037037037037036
819,42,0.125,0.12377450980392157
820,42,0.1,0.07223942208462332
