B,repeat,model,patient_macro_f1,patient_accuracy,aptamers
10,3,LR,0.9480963480963481,0.95,APT-43;APT-79;APT-93;APT-97;APT-109;APT-121;APT-131;APT-136;APT-237;APT-249
10,4,LR,0.8232184482184483,0.825,APT-81;APT-109;APT-120;APT-147;APT-158;APT-159;APT-214;APT-245;APT-246;APT-290
10,5,LR,0.6634920634920635,0.7,APT-07;APT-09;APT-22;APT-119;APT-143;APT-152;APT-217;APT-235;APT-271;APT-292
10,6,LR,0.778184778184778,0.8,APT-04;APT-09;APT-20;APT-28;APT-93;APT-133;APT-160;APT-164;APT-183;APT-205
10,7,LR,0.8962606837606838,0.9,APT-23;APT-80;APT-139;APT-143;APT-176;APT-219;APT-252;APT-253;APT-266;APT-278
10,8,LR,0.8782550782550783,0.875,APT-40;APT-75;APT-83;APT-98;APT-173;APT-197;APT-198;APT-240;APT-247;APT-272
10,9,LR,0.80503663003663,0.825,APT-32;APT-38;APT-50;APT-55;APT-82;APT-93;APT-99;APT-103;APT-128;APT-283
10,10,LR,0.8748362748362748,0.875,APT-13;APT-29;APT-38;APT-54;APT-85;APT-124;APT-145;APT-205;APT-239;APT-292
10,11,LR,0.8528582528582529,0.85,APT-22;APT-30;APT-37;APT-40;APT-67;APT-70;APT-73;APT-108;APT-129;APT-169
10,12,LR,0.7931382343147049,0.8,APT-02;APT-36;APT-85;APT-178;APT-197;APT-212;APT-215;APT-229;APT-246;APT-286
10,13,LR,0.7976836888601596,0.8,APT-14;APT-17;APT-34;APT-60;APT-84;APT-87;APT-132;APT-163;APT-174;APT-181
10,14,LR,0.9482184482184483,0.95,APT-76;APT-92;APT-105;APT-121;APT-177;APT-208;APT-243;APT-283;APT-287;APT-289
10,15,LR,0.9266178266178268,0.925,APT-21;APT-34;APT-36;APT-76;APT-125;APT-145;APT-177;APT-181;APT-223;APT-238
10,16,LR,0.9266178266178265,0.925,APT-17;APT-48;APT-88;APT-112;APT-117;APT-193;APT-231;APT-244;APT-252;APT-255
10,17,LR,0.8472527472527472,0.85,APT-06;APT-54;APT-59;APT-60;APT-97;APT-103;APT-198;APT-209;APT-226;APT-270
10,18,LR,0.8747377622377623,0.875,APT-40;APT-58;APT-98;APT-105;APT-107;APT-147;APT-201;APT-202;APT-216;APT-262
10,19,LR,0.9272630147630149,0.925,APT-03;APT-50;APT-74;APT-77;APT-175;APT-182;APT-183;APT-185;APT-276;APT-277
10,20,LR,0.872086247086247,0.875,APT-29;APT-95;APT-123;APT-156;APT-184;APT-208;APT-209;APT-233;APT-250;APT-289
10,21,LR,0.8713064713064712,0.875,APT-10;APT-49;APT-59;APT-88;APT-142;APT-145;APT-154;APT-162;APT-224;APT-286
10,22,LR,0.795995670995671,0.8,APT-11;APT-20;APT-22;APT-104;APT-155;APT-158;APT-190;APT-213;APT-218;APT-290
10,23,LR,0.9480963480963481,0.95,APT-09;APT-18;APT-67;APT-110;APT-116;APT-144;APT-158;APT-231;APT-289;APT-293
