source,subtype,disease,n_disease,median_disease,iqr_disease,median_other,median_difference,rank_biserial,p_value,median_lr_coefficient,iqr_lr_coefficient,coefficient_positive_fraction,coefficient_sign_stability,top_five_fraction,q_value,heldout_log_loss_increase,heldout_log_loss_increase_sd
true_subtype,CD4 Monocyte-4,GC,7,0.0031420765027322405,0.002094912556164864,0.001842664776754075,0.0012994117259781655,0.20346320346320357,0.41252340147941924,0.017139711252284924,1.6235116580420554,0.6,0.6,0.2,0.6364646765682468,0.0768330589973763,0.11618748177970228
true_subtype,CD4 Monocyte-4,HCC,7,0.001532246831034963,0.0012364162149233558,0.002370604504148558,-0.0008383576731135951,-0.37662337662337664,0.12551357035735844,-0.21473867110692246,0.7266930200559163,0.2,0.8,0.0,0.32274918091892174,0.0768330589973763,0.11618748177970228
true_subtype,CD4 Monocyte-4,Normal,6,0.007858365953249371,0.003089701134710982,0.001553879436224211,0.00630448651702516,0.9215686274509804,0.0003927739622409997,0.2455742348083229,0.18791292046587474,1.0,1.0,0.0,0.003534965660168997,0.0768330589973763,0.11618748177970228
true_subtype,CD4 Monocyte-4,PC,6,0.00212623644741163,0.002712208079306772,0.0018615898742731752,0.0002646465731384548,-0.10784313725490191,0.6905642304322789,-0.16055289759526625,0.881599224530685,0.4,0.6,0.2,0.8561150470226566,0.0768330589973763,0.11618748177970228
true_subtype,CD56 NK,BTC,6,0.03477678455758518,0.004972832629077294,0.013756510095525788,0.02102027446205939,0.42156862745098045,0.10885373516952467,0.0975913606090588,0.8317187344904509,0.8,0.8,0.0,0.2933867411307395,0.1321699034512768,0.16787171321400857
true_subtype,CD56 NK,CRC,8,0.004906170623397803,0.06744106638765525,0.019751306342334754,-0.01484513571893695,-0.421875,0.06991685877134794,-0.15987933078885103,0.4411408613957763,0.4,0.6,0.0,0.22240085661138298,0.1321699034512768,0.16787171321400857
true_subtype,CD56 NK,GC,7,0.011885245901639344,0.0019372398380390309,0.022983702465524447,-0.011098456563885103,-0.35064935064935066,0.1577345742980418,-0.6322856101939865,0.4833528915801187,0.0,1.0,0.2,0.37405522302547467,0.1321699034512768,0.16787171321400857
true_subtype,CD56 NK,HCC,7,0.022983702465524447,0.010532406557987973,0.0129959905986451,0.009987711866879348,0.24675324675324672,0.32648367586448085,-0.01843315483352833,0.0287415708334584,0.4,0.6,0.0,0.5452613968045968,0.1321699034512768,0.16787171321400857
true_subtype,CD56 NK,Normal,6,0.25913953134553547,0.053576088663819715,0.013756510095525788,0.2453830212500097,0.9215686274509804,3.334740176845441e-05,0.5103090152715628,0.46356144089593576,1.0,1.0,0.4,0.0006752848858112017,0.1321699034512768,0.16787171321400857
true_subtype,CD56 NK,PC,6,0.008469253359210234,0.004848229477122045,0.02153601706835134,-0.013066763709141106,-0.696078431372549,0.0051620735831262145,-0.16718893374137947,0.21060786117633198,0.2,0.8,0.0,0.028836411050567126,0.1321699034512768,0.16787171321400857
true_subtype,CD8 + CTL-1,BTC,6,0.0026393932636659596,0.0007889905352892954,0.0016107776324041302,0.0010286156312618294,0.32352941176470584,0.22461871935556146,-0.10735948430698615,0.12299640432501859,0.0,1.0,0.0,0.46061053842532856,0.01874963677473774,0.055628586371918795
true_subtype,CD8 + CTL-1,CRC,8,0.0008227302324762861,0.010828375480732158,0.00202621999161173,-0.0012034897591354438,-0.3828125,0.10179372036957175,0.08705252301811502,0.11946065506496611,0.8,0.8,0.0,0.2931110972828868,0.01874963677473774,0.055628586371918795
true_subtype,CD8 + CTL-1,GC,7,0.001392951664577239,0.0009168056184027135,0.002073828287017835,-0.000680876622440596,-0.2813852813852814,0.2610460663092242,-0.07700407563250586,0.11718164314676478,0.4,0.6,0.0,0.4881566476529552,0.01874963677473774,0.055628586371918795
true_subtype,CD8 + CTL-1,HCC,7,0.001671541997492687,0.000894658033875669,0.002073828287017835,-0.00040228628952514796,-0.05627705627705626,0.8345801982024893,-0.10192384986262844,0.14570902601241353,0.0,1.0,0.0,0.8884967095493411,0.01874963677473774,0.055628586371918795
true_subtype,CD8 + CTL-1,Normal,6,0.05447168719445105,0.007786743596624492,0.0016107776324041302,0.05286090956204692,0.9901960784313726,1.0421063052642e-06,0.6108426247597301,0.44245656118193666,1.0,1.0,0.4,8.44106107264002e-05,0.01874963677473774,0.055628586371918795
true_subtype,CD8 + CTL-1,PC,6,0.0011140514267718995,0.0006357075881410569,0.0021228766492245098,-0.0010088252224526102,-0.4509803921568627,0.08495146389883235,-0.38215740404685755,0.37126667127138374,0.0,1.0,0.0,0.25312415737963256,0.01874963677473774,0.055628586371918795
true_subtype,CD8 + CTL-2,BTC,6,0.0011509782493812465,0.0006042297279347363,0.0004420556455186139,0.0007089226038626327,0.42156862745098045,0.10651714592615491,0.002761011398585559,0.0364261499320535,0.6,0.6,0.0,0.2933867411307395,0.025637196409517116,0.03329276010265027
true_subtype,CD8 + CTL-2,CRC,8,0.00013587085419476506,0.0012446357803173398,0.0007007543539856913,-0.0005648834997909263,-0.4140625,0.07510161570273463,-0.06440201084976727,0.16281155344143247,0.4,0.6,0.0,0.22955588195930207,0.025637196409517116,0.03329276010265027
true_subtype,CD8 + CTL-2,GC,7,0.00045014629754670267,0.0002744258207937098,0.0008236101578586136,-0.0003734638603119109,-0.24675324675324672,0.3176509549968294,-0.05695203575575622,0.34243834845518867,0.0,1.0,0.0,0.5416784706261722,0.025637196409517116,0.03329276010265027
true_subtype,CD8 + CTL-2,HCC,7,0.0008236101578586136,0.0004124453954307182,0.0005484260173302622,0.00027518414052835137,0.09956709956709964,0.6946290712955021,0.005686982533842879,0.09689744155327491,0.6,0.6,0.0,0.8561150470226566,0.025637196409517116,0.03329276010265027
true_subtype,CD8 + CTL-2,Normal,6,0.03346181166845284,0.01230752959610798,0.0004420556455186139,0.03301975602293423,1.0,0.00011585980640061869,0.35452081406297925,0.40902955722506085,1.0,1.0,0.0,0.00144379143360771,0.025637196409517116,0.03329276010265027
true_subtype,CD8 + CTL-2,PC,6,7.256894049346879e-05,0.00016144439681957748,0.0007669691647369499,-0.0006944002242434812,-0.7352941176470589,0.004664555319707865,-0.1286815182054713,0.3635860152507161,0.0,1.0,0.0,0.026987784349738364,0.025637196409517116,0.03329276010265027
true_subtype,CD8 + CTL-3,BTC,6,0.0004128189801829969,0.00025216453431496833,0.0001448964394085563,0.0002679225407744406,0.2450980392156863,0.3450340931039545,-0.06650929113157622,0.04145270122157836,0.0,1.0,0.0,0.5589552308284063,0.006697476897006184,0.04072421237516481
