feature_set,transform,outer_fold,disease,feature,coefficient
pred_hard_lineage,clr,3,Normal,pred_hard_lineage::Other,0.9953353947316625
pred_hard_lineage,clr,3,Normal,pred_hard_lineage::T,-2.0770257967853483
pred_hard_lineage,clr,3,PC,pred_hard_lineage::B,0.4465258839147522
pred_hard_lineage,clr,3,PC,pred_hard_lineage::Myeloid,-1.3336291448689255
pred_hard_lineage,clr,3,PC,pred_hard_lineage::NK,-3.01820287775848
pred_hard_lineage,clr,3,PC,pred_hard_lineage::Other,0.13876457752372323
pred_hard_lineage,clr,3,PC,pred_hard_lineage::T,3.5496515385108487
pred_hard_lineage,clr,4,BTC,pred_hard_lineage::B,0.3087596124869243
pred_hard_lineage,clr,4,BTC,pred_hard_lineage::Myeloid,-0.18676422877088378
pred_hard_lineage,clr,4,BTC,pred_hard_lineage::NK,0.6369174911568909
pred_hard_lineage,clr,4,BTC,pred_hard_lineage::Other,-1.0264670083014977
pred_hard_lineage,clr,4,BTC,pred_hard_lineage::T,0.6410524044195863
pred_hard_lineage,clr,4,CRC,pred_hard_lineage::B,0.972048444453191
pred_hard_lineage,clr,4,CRC,pred_hard_lineage::Myeloid,-0.45739426643293923
pred_hard_lineage,clr,4,CRC,pred_hard_lineage::NK,0.9286059521540865
pred_hard_lineage,clr,4,CRC,pred_hard_lineage::Other,-0.5199610607279017
pred_hard_lineage,clr,4,CRC,pred_hard_lineage::T,-0.6862946353454906
pred_hard_lineage,clr,4,GC,pred_hard_lineage::B,0.28357501189463663
pred_hard_lineage,clr,4,GC,pred_hard_lineage::Myeloid,-0.3997318748806164
pred_hard_lineage,clr,4,GC,pred_hard_lineage::NK,-1.4038034665203047
pred_hard_lineage,clr,4,GC,pred_hard_lineage::Other,0.5218595362087797
pred_hard_lineage,clr,4,GC,pred_hard_lineage::T,0.9945960296105286
pred_hard_lineage,clr,4,HCC,pred_hard_lineage::B,-0.8817183291051001
pred_hard_lineage,clr,4,HCC,pred_hard_lineage::Myeloid,1.3654235578147311
pred_hard_lineage,clr,4,HCC,pred_hard_lineage::NK,0.6937418914516795
pred_hard_lineage,clr,4,HCC,pred_hard_lineage::Other,-0.5507390617763999
pred_hard_lineage,clr,4,HCC,pred_hard_lineage::T,-0.746610241364329
pred_hard_lineage,clr,4,Normal,pred_hard_lineage::B,-0.0017528024327161324
pred_hard_lineage,clr,4,Normal,pred_hard_lineage::Myeloid,-0.6932517029908992
pred_hard_lineage,clr,4,Normal,pred_hard_lineage::NK,-0.19212257425512233
pred_hard_lineage,clr,4,Normal,pred_hard_lineage::Other,1.8118104274270983
pred_hard_lineage,clr,4,Normal,pred_hard_lineage::T,-1.4595815547315907
pred_hard_lineage,clr,4,PC,pred_hard_lineage::B,-0.6809119372969378
pred_hard_lineage,clr,4,PC,pred_hard_lineage::Myeloid,0.3717185152606091
pred_hard_lineage,clr,4,PC,pred_hard_lineage::NK,-0.663339293987228
pred_hard_lineage,clr,4,PC,pred_hard_lineage::Other,-0.2365028328300755
pred_hard_lineage,clr,4,PC,pred_hard_lineage::T,1.2568379974112927
pred_soft_lineage,raw,0,BTC,pred_soft_lineage::B,1.6395602046535889
pred_soft_lineage,raw,0,BTC,pred_soft_lineage::Myeloid,-0.7590165587005251
pred_soft_lineage,raw,0,BTC,pred_soft_lineage::NK,2.39520034394562
pred_soft_lineage,raw,0,BTC,pred_soft_lineage::Other,-3.583704464223342
pred_soft_lineage,raw,0,BTC,pred_soft_lineage::T,-1.9280137179303656
pred_soft_lineage,raw,0,CRC,pred_soft_lineage::B,-6.394981899710119
pred_soft_lineage,raw,0,CRC,pred_soft_lineage::Myeloid,0.8926863608488699
pred_soft_lineage,raw,0,CRC,pred_soft_lineage::NK,0.9152216214899891
pred_soft_lineage,raw,0,CRC,pred_soft_lineage::Other,0.5768355512287473
pred_soft_lineage,raw,0,CRC,pred_soft_lineage::T,0.42805657973326633
pred_soft_lineage,raw,0,GC,pred_soft_lineage::B,1.0251379201379378
pred_soft_lineage,raw,0,GC,pred_soft_lineage::Myeloid,0.5429719246660469
pred_soft_lineage,raw,0,GC,pred_soft_lineage::NK,-2.5941308702516896
pred_soft_lineage,raw,0,GC,pred_soft_lineage::Other,-9.762006695069777
pred_soft_lineage,raw,0,GC,pred_soft_lineage::T,1.6397697834858151
